endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
57,cbus_b47_exhrq2_n,cbus_signal,cbus_exhrq2_n_assert,gen_mux_b47,output,SO-DIMM-204,101,LVDS_IOT44_N,1,3.3V,target24_busmaster,tang_primer20k,This profile reserves the 286+ EXHRQ2 use; 8086 HRQ tri-state output needs a separate later profile/path.
58,cbus_b42_exhla1_n,cbus_signal,cbus_exhla1_n_i,gen_mux_b42,input,SO-DIMM-204,103,LVDS_IOT44_P,1,3.3V,target24_busmaster,tang_primer20k,
59,cbus_b46_exhla2_n,cbus_signal,cbus_exhla2_n_i,arb_in,input,SO-DIMM-204,152,LVDS_IOT32_N,1,3.3V,target24_busmaster,tang_primer20k,
60,cbus_b48_sbusrq,cbus_signal,cbus_sbusrq_i,gen_mux_b48,input,SO-DIMM-204,154,LVDS_IOT32_P,1,3.3V,target24_busmaster,tang_primer20k,
61,lvc_data_dir,lvc_control,safe_drive_if.data_dir,lvc_control,output,SO-DIMM-204,27,LVDS_IOR53_N,3,3.3V,io8_sync_min,tang_primer20k,Direction is separately controlled from OE.
62,lvc_data_oe_n,lvc_control,safe_drive_if.data_oe_n,lvc_control,output,SO-DIMM-204,29,LVDS_IOR53_P,3,3.3V,io8_sync_min,tang_primer20k,External pull-up makes configuration default High-Z.
63,lvc_iordy_oe_n,lvc_control,safe_drive_if.iordy_oe_n,lvc_control,output,SO-DIMM-204,33,LVDS_IOR29_P,3,3.3V,io8_sync_min,tang_primer20k,IORDY cycle window cannot share IRQ OE.
64,lvc_irq_oe_n,lvc_control,safe_drive_if.irq_oe_n,lvc_control,output,SO-DIMM-204,35,LVDS_IOR29_N,3,3.3V,io8_sync_min,tang_primer20k,Used only for a selected tri-state IRQ path; IR9 uses open drain.
65,lvc_word_oe_n,lvc_control,safe_drive_if.word_oe_n,lvc_control,output,SO-DIMM-204,39,LVDS_IOR42_N,3,3.3V,target24_dma,tang_primer20k,WORD has an independent DMA-active window.
66,lvc_addr_dir,lvc_control,safe_drive_if.addr_dir,lvc_control,output,SO-DIMM-204,41,LVDS_IOR42_P,3,3.3V,target24_busmaster,tang_primer20k,Passive target default is host-to-FPGA.
67,lvc_addr_oe_n,lvc_control,safe_drive_if.addr_oe_n,lvc_control,output,SO-DIMM-204,45,LVDS_IOR38_P,3,3.3V,target24_busmaster,tang_primer20k,External pull-up makes configuration default High-Z.
68,lvc_cmd_dir,lvc_control,safe_drive_if.cmd_dir,lvc_control,output,SO-DIMM-204,47,LVDS_IOR38_N,3,3.3V,target24_busmaster,tang_primer20k,Passive target default is host-to-FPGA.
69,lvc_cmd_oe_n,lvc_control,safe_drive_if.cmd_oe_n,lvc_control,output,SO-DIMM-204,135,C10_IOR39A,3,3.3V,target24_busmaster,tang_primer20k,External pull-up makes configuration default High-Z.
