endpoint_index,endpoint,endpoint_kind,common_port,translator_group,fpga_pin_direction,connector,connector_pin,module_net,bank,io_voltage,introduced_by,board,notes
56,cbus_b40_exhrq1_n,cbus_signal,cbus_exhrq1_n_assert,gen_mux_b40,output,C2400,20,BANK4_N15_IOB146A,4,3.3V,target24_busmaster,tang_mega138k,This profile reserves the 286+ EXHRQ1 use; 8086 CPKILL tri-state output needs a separate later profile/path.
57,cbus_b47_exhrq2_n,cbus_signal,cbus_exhrq2_n_assert,gen_mux_b47,output,C2400,21,BANK4_W19_IOB122A,4,3.3V,target24_busmaster,tang_mega138k,This profile reserves the 286+ EXHRQ2 use; 8086 HRQ tri-state output needs a separate later profile/path.
58,cbus_b42_exhla1_n,cbus_signal,cbus_exhla1_n_i,gen_mux_b42,input,C2400,22,BANK4_N13_IOB142A,4,3.3V,target24_busmaster,tang_mega138k,
59,cbus_b46_exhla2_n,cbus_signal,cbus_exhla2_n_i,arb_in,input,C2400,23,BANK4_AB18_IOB108B,4,3.3V,target24_busmaster,tang_mega138k,
60,cbus_b48_sbusrq,cbus_signal,cbus_sbusrq_i,gen_mux_b48,input,C2400,24,BANK4_N14_IOB142B,4,3.3V,target24_busmaster,tang_mega138k,
61,lvc_data_dir,lvc_control,safe_drive_if.data_dir,lvc_control,output,C2400,25,BANK4_AA18_IOB108A,4,3.3V,io8_sync_min,tang_mega138k,Direction is separately controlled from OE.
62,lvc_data_oe_n,lvc_control,safe_drive_if.data_oe_n,lvc_control,output,C2400,27,BANK4_Y19_IOB116B,4,3.3V,io8_sync_min,tang_mega138k,External pull-up makes configuration default High-Z.
63,lvc_iordy_oe_n,lvc_control,safe_drive_if.iordy_oe_n,lvc_control,output,C2400,29,BANK4_Y18_IOB116A,4,3.3V,io8_sync_min,tang_mega138k,IORDY cycle window cannot share IRQ OE.
64,lvc_irq_oe_n,lvc_control,safe_drive_if.irq_oe_n,lvc_control,output,C2400,31,BANK4_W17_IOB106B,4,3.3V,io8_sync_min,tang_mega138k,Used only for a selected tri-state IRQ path; IR9 uses open drain.
65,lvc_word_oe_n,lvc_control,safe_drive_if.word_oe_n,lvc_control,output,C2400,33,BANK4_V17_IOB106A,4,3.3V,target24_dma,tang_mega138k,WORD has an independent DMA-active window.
66,lvc_addr_dir,lvc_control,safe_drive_if.addr_dir,lvc_control,output,C2400,35,BANK4_U18_IOB112B,4,3.3V,target24_busmaster,tang_mega138k,Passive target default is host-to-FPGA.
67,lvc_addr_oe_n,lvc_control,safe_drive_if.addr_oe_n,lvc_control,output,C2400,37,BANK4_U17_IOB112A,4,3.3V,target24_busmaster,tang_mega138k,External pull-up makes configuration default High-Z.
68,lvc_cmd_dir,lvc_control,safe_drive_if.cmd_dir,lvc_control,output,C2400,49,BANK4_R16_IOB140B,4,3.3V,target24_busmaster,tang_mega138k,Passive target default is host-to-FPGA.
69,lvc_cmd_oe_n,lvc_control,safe_drive_if.cmd_oe_n,lvc_control,output,C2400,51,BANK4_P15_IOB140A,4,3.3V,target24_busmaster,tang_mega138k,External pull-up makes configuration default High-Z.
